Platform,Retweets,Likes,Country,Hour,Hashtag_1,Hashtag_2,Sentiment_Group,Part_of_Day
Twitter,15,30, USA      ,12,Nature,Park,Positive,Afternoon
Twitter,5,10, Canada   ,8,Traffic,Morning,Negative,Morning
Instagram,20,40, USA        ,15,Fitness,Workout,Positive,Afternoon
Facebook,8,15, UK       ,18,Travel,Adventure,Positive,Evening
Instagram,12,25, Australia ,19,Cooking,Food,Neutral,Evening
Twitter,25,50, India    ,9,Gratitude,PositiveVibes,Positive,Morning
Facebook,10,20, Canada   ,14,RainyDays,Cozy,Positive,Afternoon
Instagram,15,30, USA    ,19,MovieNight,MustWatch,Positive,Evening
Twitter,30,60, USA      ,8,Politics,Debate,Negative,Morning
Facebook,18,35, Australia ,12,Summer,BeachDays,Neutral,Afternoon
Instagram,22,45,USA,15,Blogging,NewPost,Positive,Afternoon
Twitter,7,15, Canada   ,10,SickDay,Health,Negative,Morning
Facebook,12,25, UK       ,14,CityExplore,HiddenGems,Positive,Afternoon
Instagram,28,55, USA        ,18,NewYear,FitnessGoals,Positive,Evening
Twitter,15,30, India    ,9,Tech,Innovation,Neutral,Morning
Facebook,20,40, USA      ,13,Reflection,Future,Positive,Afternoon
Instagram,15,30, Canada    ,17,PetAdoption,FurryFriend,Positive,Evening
Twitter,18,35, UK       ,0,Gaming,LateNight,Positive,Late Night
Facebook,25,50,USA,11,AI,TechConference,Neutral,Morning
Instagram,8,15, USA       ,15,WinterBlues,Mood,Negative,Afternoon
Twitter,22,45, India    ,8,Reading,CoffeeTime,Positive,Morning
Facebook,15,30,USA,13,VR,VirtualReality,Positive,Afternoon
Instagram,30,60, USA ,16,Productivity,WorkFromHome,Positive,Evening
Twitter,20,40, UK       ,9,Fitness,ChallengeAccepted,Positive,Morning
Facebook,12,25, Canada  ,14,Career,Milestone,Positive,Afternoon
Instagram,15,30, UK ,12,Brunch,Friends,Positive,Afternoon
Facebook,25,50, India     ,16,LanguageLearning,PersonalGrowth,Positive,Evening
Instagram,15,30, Australia ,19,Reading,QuietTime,Positive,Evening
Twitter,22,45, USA      ,11,MentalHealth,SelfCare,Positive,Morning
Facebook,12,25, Canada ,15,Art,PaintingInProgress,Positive,Afternoon
Instagram,18,35, UK        ,17,RoadTrip,ScenicViews,Positive,Evening
Twitter,15,30, India    ,18,TeaTime,Sunset,Positive,Evening
Facebook,30,60, USA ,13,Coding,Enthusiasm,Positive,Afternoon
Instagram,25,50,USA,9,Inspiration,Workshop,Positive,Morning
Twitter,15,30, Canada   ,14,WinterSports,Fun,Positive,Afternoon
Facebook,22,45, UK        ,17,FamilyTime,Weekend,Positive,Evening
Instagram,18,35, USA ,20,Music,ConcertNight,Positive,Night
Twitter,15,30, India    ,12,Mindfulness,Meditation,Positive,Afternoon
Facebook,12,25, Canada ,16,Dessert,Cooking,Positive,Evening
Instagram,30,60,USA,9,Gaming,Tournament,Positive,Morning
Twitter,25,50, USA      ,14,Gardening,Spring,Positive,Afternoon
Facebook,15,30, UK ,19,Birthday,Celebration,Positive,Evening
Instagram,22,45, India ,17,Accomplished,Success,Positive,Evening
Twitter,18,35, Canada   ,20,CozyNight,MovieTime,Positive,Night
Facebook,15,30, USA      ,11,Art,GalleryExplore,Positive,Morning
Instagram,12,25, UK   ,15,BookRelease,FavoriteAuthor,Positive,Afternoon
Twitter,28,55, India    ,18,VRMeetup,VirtualReality,Positive,Evening
Facebook,15,30, Australia ,10,Nature,Reflection,Positive,Morning
Instagram,20,40, USA       ,19,Cooking,SpecialDinner,Positive,Evening
Twitter,15,30, Canada   ,16,Optimism,NewWeek,Positive,Evening
Facebook,22,45, UK         ,8,FitnessChallenge,NewBeginnings,Positive,Morning
Instagram,18,35, USA     ,13,BikeRide,ScenicTrails,Positive,Afternoon
Twitter,20,40, Canada     ,9,Injustice,Angry,Negative,Morning
Instagram,15,30, USA          ,21,Fear,ThrillerMovie,Negative,Night
Facebook,25,50, India      ,14,Sadness,NaturalDisaster,Negative,Afternoon
Twitter,18,35, UK         ,18,Disgust,Environment,Negative,Evening
Instagram,30,60, USA ,10,Happiness,Celebration,Positive,Morning
Facebook,22,45, Canada    ,19,Joy,ComedyShow,Positive,Evening
Twitter,15,30, Australia  ,8,Love,SpreadLove,Positive,Morning
Instagram,18,35, UK           ,14,Amusement,FunTimes,Positive,Afternoon
Facebook,25,50, Canada       ,19,Enjoyment,BookTime,Positive,Evening
Twitter,20,40, USA       ,11,Admiration,Nature,Positive,Morning
Instagram,15,30,USA,16,Affection,PositiveVibes,Positive,Evening
Facebook,22,45, Australia   ,20,Awe,Breathtaking,Positive,Night
Twitter,18,35, India      ,9,Disappointed,BadService,Negative,Morning
Instagram,25,50, USA          ,14,Surprise,Gift,Curiosity,Afternoon
Facebook,15,30, Canada     ,18,Acceptance,Challenges,Positive,Evening
Twitter,22,45, UK        ,10,Adoration,PetLove,Positive,Morning
Instagram,20,40,USA,7,Anticipation,Adventure,Curiosity,Early Morning
Facebook,18,35, USA       ,15,BitterLesson,Growth,Negative,Afternoon
Twitter,15,30, India     ,9,Calmness,PeacefulMind,Positive,Morning
Instagram,25,50, UK   ,14,Confusion,DecisionMaking,Mixed,Afternoon
Facebook,22,45, Canada    ,18,Excitement,TravelPlans,Positive,Evening
Twitter,20,40, USA       ,11,Kindness,Humanity,Positive,Morning
Instagram,30,60, Australia    ,16,Pride,Milestone,Positive,Evening
Facebook,15,30, India      ,19,Shame,Injustice,Negative,Evening
Twitter,20,40, Canada     ,9,Anger,Argument,Negative,Morning
Instagram,15,30, USA          ,21,Fear,Unknown,Negative,Night
Facebook,25,50, India      ,14,Sadness,Farewell,Negative,Afternoon
Twitter,18,35, UK         ,18,Disgust,Corruption,Negative,Evening
Instagram,30,60, UK           ,10,Happiness,NewFamilyMember,Positive,Morning
Facebook,22,45, Canada    ,19,Joy,StandUpComedy,Positive,Evening
Twitter,15,30, Australia  ,8,Love,SpreadLove,Positive,Morning
Instagram,18,35, UK           ,14,Amusement,PetAntics,Positive,Afternoon
Facebook,25,50, USA ,19,Enjoyment,Travel,Positive,Evening
Twitter,20,40, USA        ,11,Admiration,Volunteers,Positive,Morning
Instagram,15,30,USA,16,Affection,FamilyLove,Positive,Evening
Facebook,22,45, Australia ,20,Awe,StarryNight,Positive,Night
Twitter,18,35, India      ,9,Disappointed,Project,Negative,Morning
Instagram,25,50, USA          ,14,Surprise,OldFriends,Curiosity,Afternoon
Facebook,15,30, Canada     ,18,Acceptance,LifeJourney,Positive,Evening
Twitter,22,45, UK         ,10,Adoration,PuppyLove,Positive,Morning
Instagram,20,40, Australia    ,7,Anticipation,MovieRelease,Curiosity,Early Morning
Facebook,18,35, USA       ,15,BitterExperience,CustomerService,Negative,Afternoon
Twitter,15,30, India     ,9,Calmness,InnerPeace,Positive,Morning
Instagram,25,50, UK   ,14,Confusion,MakingSense,Mixed,Afternoon
Facebook,22,45, Canada ,18,Excitement,SurpriseParty,Positive,Evening
Twitter,20,40, USA       ,11,Kindness,ActsOfKindness,Positive,Morning
Instagram,30,60, UK            ,16,Pride,FitnessChallengeCompleted,Positive,Evening
Facebook,15,30, India     ,19,Shame,Injustice,Negative,Evening
Twitter,22,45, Australia ,10,Acceptance,Diversity,Positive,Morning
Instagram,18,35, USA          ,13,Excitement,BookTime,Positive,Afternoon
Twitter,15,30, Canada    ,17,Bitter,Unfairness,Negative,Evening
Facebook,15,30, UK        ,18,Calmness,Mindfulness,Positive,Evening
Instagram,30,60, USA   ,13,Confusion,LifeChoices,Mixed,Afternoon
Twitter,25,50, India     ,16,Excitement,WeekendAdventure,Positive,Evening
Facebook,22,45, USA       ,11,Kindness,HumanityRestored,Positive,Morning
Instagram,12,25, Canada ,14,Pride,Accomplishments,Positive,Afternoon
Twitter,15,30, UK        ,12,Shame,Integrity,Negative,Afternoon
Twitter,20,40, Canada    ,15,Elation,Memories,Positive,Afternoon
Instagram,15,30, USA      ,21,Euphoria,Victory,Positive,Night
Facebook,25,50, India       ,14,Contentment,Nature,Positive,Afternoon
Twitter,18,35, UK          ,18,Serenity,Meditation,Positive,Evening
Instagram,30,60, Australia   ,10,Gratitude,Blessed,Positive,Morning
Facebook,22,45, USA      ,19,Hope,Optimism,Positive,Evening
Twitter,15,30, UK       ,8,Empowerment,Community,Positive,Morning
Instagram,18,35, Canada ,14,Compassion,CharityEvent,Positive,Afternoon
Facebook,25,50, UK          ,19,Tenderness,FamilyTime,Positive,Evening
Twitter,20,40, Australia ,11,Arousal,Excitement,Other,Morning
Instagram,15,30, USA  ,16,Enthusiasm,NewProject,Positive,Evening
Facebook,22,45, India     ,18,Fulfillment,Milestone,Positive,Evening
Twitter,18,35, UK      ,15,Reverence,History,Calm,Afternoon
Instagram,25,50, Canada      ,9,Elation,OldFriends,Positive,Morning
Facebook,15,30, USA ,14,Euphoria,LiveMusic,Positive,Afternoon
Twitter,30,60, Australia ,10,Contentment,SundayMood,Positive,Morning
Instagram,22,45, UK          ,19,Serenity,BookTime,Positive,Evening
Facebook,15,30, India     ,8,Gratitude,Supportive,Positive,Morning
Twitter,18,35, Canada    ,16,Hope,NewBeginnings,Positive,Evening
Instagram,25,50,USA,11,Empowerment,PersonalGrowth,Positive,Morning
Facebook,18,35, USA      ,14,Compassion,HolidaySupport,Positive,Afternoon
Twitter,25,50, UK       ,19,Tenderness,CozyEvening,Positive,Evening
Instagram,20,40, Australia ,11,Arousal,AdventureTime,Other,Morning
Facebook,15,30, Canada    ,16,Enthusiasm,Creativity,Positive,Evening
Twitter,22,45, India     ,18,Fulfillment,FitnessGoals,Positive,Evening
Instagram,18,35, UK        ,15,Reverence,ArtAppreciation,Calm,Afternoon
Facebook,25,50, USA      ,9,Elation,PersonalAchievement,Positive,Morning
Twitter,20,40, USA      ,14,Elation,HiddenGem,Positive,Afternoon
Instagram,15,30, UK   ,21,Euphoria,BirthdaySurprise,Positive,Night
Facebook,25,50, India    ,13,Contentment,HomeCooking,Positive,Afternoon
Twitter,18,35, Canada      ,18,Serenity,PeacefulMelody,Positive,Evening
